Name;Price;Review;Score;Image;Subcategory;URL;Platform;Store;Category;brand;historical_sold;view_count;shop_location;enToken;thToken
Kingston microSD Card 32GB Canvas Select Plus Class 10 UHS-I 100MB/s (SDCS2/32GB) + SD Adapter ประกัน Lifetime;158;6;5.0;https://img.jd.co.th/n1/jfs/t34/128/3305391612/287721/775685e3/5f4c79adNddacdb47.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_10136990.html;JDCentral;Actioncam Thailand;อุปกรณ์เสริมกล้อง;;;;;Kingston microSD Card 32GB Canvas Select Plus Class 10 UHS-I 100MB s SDCS2 32GB + SD Adapter Lifetime ;32 10 - 100 2 32 + ประกัน 
TELESIN Vertical Horizontal Frame Case with Cold Shoe Quick Release Buckle Bracket Housing Mount for DJI Osmo Action Accessories;180;0;0.0;https://img.jd.co.th/n1/jfs/t31/126/3357815260/59635/30a841/5f57166dNe747b6d9.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_10355174.html;JDCentral;TELESIN Official Store;อุปกรณ์เสริมกล้อง;;;;;TELESIN Vertical Horizontal Frame Case with Cold Shoe Quick Release Buckle Bracket Housing Mount for DJI Osmo Action Accessories ;NULL
TELESIN กันน้ำ 3 ทางมือจับไม้เซลฟี่ 2 ใน 1 ด้ามจับแบบลอยตัว Monopod + ขาตั้งกล้องสำหรับ GoPro Xiaomi YI SJCAM DJI Osmo Action;296;0;0.0;https://img.jd.co.th/n1/jfs/t13/10/3881078754/40179/48182b9c/5f65c2e8Na9e2460b.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_11372758.html;JDCentral;TELESIN Official Store;อุปกรณ์เสริมกล้อง;;;;;TELESIN 3 2 1 Monopod + GoPro Xiaomi YI SJCAM DJI Osmo Action ;กันน้ำ 3 ทางมือจับไม้เซลฟี่ 2 ใน 1 ด้ามจับแบบลอยตัว + ขาตั้งกล้องสำหรับ 
EVA กระเป๋ามินิแบบพกพาใส่เหรียญหูฟังสาย USB กระเป๋าสตางค์กระเป๋าหูฟังอุปกรณ์เสริม（จัดส่งคละสี）;22;74;4.7;https://img.jd.co.th/n1/jfs/t16/57/3979413617/176382/bb247945/5f73151eN21c44ad4.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_11871112.html;JDCentral;KNT SHOP;อุปกรณ์เสริมกล้อง;;;;;EVA USB ;กระเป๋ามินิแบบพกพาใส่เหรียญหูฟังสาย กระเป๋าสตางค์กระเป๋าหูฟังอุปกรณ์เสริม จัดส่งคละสี 
MOZA Mini SE ไม้เซลฟีกันสั่นมือถือสำหรับ Android และ iPhone xiaomi Redmi Huawei phone - MOZA Mini-SE;2099;4;3.75;https://img.jd.co.th/n1/jfs/t22/137/2308484864/156182/dbeee840/5f8e934aNe8318700.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_12312181.html;JDCentral;MOZA Official Store;อุปกรณ์เสริมกล้อง;;;;;MOZA Mini SE Android iPhone xiaomi Redmi Huawei phone - MOZA Mini-SE ;ไม้เซลฟีกันสั่นมือถือสำหรับ และ - - 
MOZA Mini MX ไม้กันสั่นสำหรับสมาร์ทโฟน จัดส่งฟรี ของแท้รับประกัน 1 ปี support xiaomi iphone vivo oneplus mi 10t pro;2600;22;5.0;https://img.jd.co.th/n1/jfs/t16/33/4114275513/480783/d349686c/5f8e98a1Ndd8c17e9.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_12312194.html;JDCentral;MOZA Official Store;อุปกรณ์เสริมกล้อง;;;;;MOZA Mini MX 1 support xiaomi iphone vivo oneplus mi 10t pro ;ไม้กันสั่นสำหรับสมาร์ทโฟน จัดส่งฟรี ของแท้รับประกัน 1 ปี 10 
32 GB MICRO SD CARD (ไมโครเอสดีการ์ด) SANDISK ULTRA SDHC CLASS 10 (SDSQUNR-032G-GN3MN)_6101049626;140;63;5.0;https://img.jd.co.th/n1/jfs/t16/309/4138359204/36773/8176ec2b/5f8fd0e0Nf9256354.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_12370382.html;JDCentral;JIB Computer Group Authorized Store;อุปกรณ์เสริมกล้อง;;;;;32 GB MICRO SD CARD SANDISK ULTRA SDHC CLASS 10 SDSQUNR-032G-GN3MN 6101049626 ;32 ไมโครเอสดีการ์ด 10 -032 - 3 6101049626 
64 GB MICRO SD CARD (ไมโครเอสดีการ์ด) SANDISK ULTRA SDXC CLASS 10 (SDSQUNR-064G-GN3MN) SDSQUNR-064G-GN3MN 64GB;215;3;5.0;https://img.jd.co.th/n1/jfs/t19/90/4178763805/35874/f40cc2fd/5f900505N69b8dfbc.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_12430161.html;JDCentral;JIB Computer Group Authorized Store;อุปกรณ์เสริมกล้อง;;;;;64 GB MICRO SD CARD SANDISK ULTRA SDXC CLASS 10 SDSQUNR-064G-GN3MN SDSQUNR-064G-GN3MN 64GB ;64 ไมโครเอสดีการ์ด 10 -064 - 3 -064 - 3 64 
Sandisk Ultra microSD Card SDXC ความเร็วอ่าน 120MB/s ความจุ 128GB Class 10 A1 (SDSQUA4_128G_GN6MN) เมมโมรี่ การ์ด แซนดิส Memory ประกัน Synnex 10 ปี;455;9;5.0;https://img.jd.co.th/n1/jfs/t4/363/4173738968/425856/c9eef682/5f919071N8a6d025d.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_12582702.html;JDCentral;Actioncam Thailand;อุปกรณ์เสริมกล้อง;;;;;Sandisk Ultra microSD Card SDXC 120MB s 128GB Class 10 A1 SDSQUA4 128G GN6MN Memory Synnex 10 ;ความเร็วอ่าน 120 ความจุ 128 10 1 4 128 6 เมมโมรี่ การ์ด แซนดิส ประกัน 10 ปี 
Sandisk Ultra microSD Card SDXC ความเร็วอ่าน 120MB/s ความจุ 1TB Class 10 A1 (SDSQUA4_1T00_GN6MN) เมมโมรี่ การ์ด แซนดิส Memory ประกัน Synnex 10 ปี;6145;0;0.0;https://img.jd.co.th/n1/jfs/t10/349/4133457474/409742/e802c3d5/5f91973dN7e9e41f6.jpg!q50.jpg.dpg;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;https://www.jd.co.th/product/A_P_J_12582731.html;JDCentral;Actioncam Thailand;อุปกรณ์เสริมกล้อง;;;;;Sandisk Ultra microSD Card SDXC 120MB s 1TB Class 10 A1 SDSQUA4 1T00 GN6MN Memory Synnex 10 ;ความเร็วอ่าน 120 ความจุ 1 10 1 4 1 00 6 เมมโมรี่ การ์ด แซนดิส ประกัน 10 ปี 
