Name;Price;Review;Score;Category;Subcategory;Store;Image;URL;Platform
SanDisk Ultra microSDXC ความจุ 64GB (SDSQUA4-064G-GN6MN) ความเร็วอ่านสูงสุด 120 MB/s;279;118;99;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;SanDisk Official Store (Thailand);https://img.jd.co.th/n1/jfs/t16/299/8496905/137694/700682d1/5b228e86Nb0e91162.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_216679.html;JDCentral
SanDisk Ultra microSDHC 32GB (SDSQUA4-032G-GN6MN) Max Speed Read 120 MB/s;179;111;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;SanDisk Official Store (Thailand);https://img.jd.co.th/n1/jfs/t13/286/10004802/60844/d62e6408/5b228a96N002a8326.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_216699.html;JDCentral
KEXIN 32G Micro SD การ์ด micro SD speed up to 80MB/S SDHC TF memory card การ์ดหน่วยความจำ TF For Phone Camera;99;192;94;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;KEXIN Official Store;https://img.jd.co.th/n1/jfs/t55/141/1132675249/180579/2c96eec2/6166a431Nc313e640.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_4014543.html;JDCentral
(พิเศษแพคคู่ 32 GB) Sandisk Ultra Micro SDHC ความเร็ว 100MB/S ความจุ 32GB Class10 (SDSQUNR_032G_GN3MN x 2);295;97;99;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;SanDisk Official Store (Thailand);https://img.jd.co.th/n1/jfs/t10/50/436118268/69118/8c8a46e1/5c3c82fdN1c683645.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_2617291.html;JDCentral
เลนส์เสริมมือถือ หน้าชัดหลังเบลอ Ulanzi Lens 65 mm.;690;0;0;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;AIMAN STUDIO;https://img.jd.co.th/n1/jfs/t19/8/7691353158/1941571/419c43b9/609df950N04fdd9ff.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_4897679.html;JDCentral
Sandisk Ultra MicroSD ความเร็ว 100MB/s ความจุ 64GB Class10 mro (SDSQUNR_064G_GN3MN);240;214;99;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;SanDisk Official Store (Thailand);https://img.jd.co.th/n1/jfs/t1/36/2445319749/218255/90472eb2/5f0e7cf3N9e0705c2.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_226979.html;JDCentral
SanDisk Extreme Pro microSDXC 128GB A2 ความเร็วสูงสุด อ่าน 170MB/s เขียน 90MB/s mrm (SDSQXCY_128G_GN6MA);849;33;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;SanDisk Official Store (Thailand);https://img.jd.co.th/n1/jfs/t7/21/194656834/159663/8bf5aa04/5bb64620N790d8fc6.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_1934806.html;JDCentral
SanDisk High Endurance microSD 32GB (SDSQQNR-032G-GN6IA) สำหรับกล้องวงจรปิด ความเร็วสูงสุดอ่าน 100 MB/s เขียน 40 MB/s;269;37;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;SanDisk Official Store (Thailand);https://img.jd.co.th/n1/jfs/t28/305/383210281/126039/8103ceac/5cf92156Nba578490.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_1396627.html;JDCentral
SanDisk High Endurance 64GB microSD Card (SDSQQNR_064G_GN6IA) mro เมมโมรี่การ์ด สำหรับ กล้องติดรถยนต์ และ กล้อง วงจรปิด;899;44;98;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;SanDisk Official Store (Thailand);https://img.jd.co.th/n1/jfs/t7/244/678683219/126667/9aef696c/5cf916d7Ne489ab98.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_1396628.html;JDCentral
ขาตั้งกล้อง Yunteng รุ่น VCT-5208;490;7;86;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;AIMAN STUDIO;https://img.jd.co.th/n1/jfs/t7/244/1805937867/238793/240925bf/5dd60ac1N3c7b4443.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_4210104.html;JDCentral
