Name;brand;Price;historical_sold;Score;view_count;Category;Image;Platform;URL;rating_star;shop_location
สายชาร์จไอโฟน 1 เมตร 2 เมตร สายชาร์จ สำหรับ iphone ipad Foxconn 5ic 2A  ของแท้ดั้งเดิม 1: 1;;16.0;17259;339;787;มือถือและอุปกรณ์เสริม;https://cf.shopee.co.th/file/9dc332cfe18df8f9b675f476b5370a17_tn;Shopee;https://shopee.co.th/สายชาร์จไอโฟน-1-เมตร-2-เมตร-สายชาร์จ-สำหรับ-iphone-ipad-Foxconn-5ic-2A--ของแท้ดั้งเดิม-1:-1-i.204192924.4409644128;4.7888283378746594;จังหวัดกรุงเทพมหานคร
พร้อมส่งด่วน💖ซองซิปล็อคลายน่ารัก ถูกสุด 5 บาท ซองขนม ซองกันน้ำ  จัดเก็บสิ่งของต่างๆ;;4.0;4017;457;68;มือถือและอุปกรณ์เสริม;https://cf.shopee.co.th/file/e9cc22e531f1cbb27cb8cf2cf7d70597_tn;Shopee;https://shopee.co.th/พร้อมส่งด่วน💖ซองซิปล็อคลายน่ารัก-ถูกสุด-5-บาท-ซองขนม-ซองกันน้ำ--จัดเก็บสิ่งของต่างๆ-i.65572409.6272255330;4.8936170212765955;จังหวัดกรุงเทพมหานคร
🌸Popsocket/Griptok/ที่ตั้งโทรศัพท์ รุ่นใหม่ ลายดอกไม้ ขาตั้งแข็งแรงกว่าเดิม🌸;No Brand(ไม่มียี่ห้อ);11.0;11056;2227;1776;มือถือและอุปกรณ์เสริม;https://cf.shopee.co.th/file/3313e65cee8ec6449f1f0c06b6c4e9ac_tn;Shopee;https://shopee.co.th/🌸Popsocket/Griptok/ที่ตั้งโทรศัพท์-รุ่นใหม่-ลายดอกไม้-ขาตั้งแข็งแรงกว่าเดิม🌸-i.13490204.3456375980;4.795551193981027;จังหวัดกรุงเทพมหานคร
ของแท้!! E-wan แบตNokia BL-5C.  (BL-5CB)มีมอก.   1200 mah Nokia 6681 Nokia 6630;E-WAN(อีเว้นท์);55.0;2577;236;591;มือถือและอุปกรณ์เสริม;https://cf.shopee.co.th/file/6306e62743c9cc952342d8fd14790ffe_tn;Shopee;https://shopee.co.th/ของแท้!!-E-wan-แบตNokia-BL-5C.--(BL-5CB)มีมอก.---1200-mah-Nokia-6681-Nokia-6630-i.60936860.5141808230;4.7727272727272725;จังหวัดปทุมธานี
กระจกกันรอย Focus ปกป้องเลนส์กล้อง iPhone 12mini  X Xs Xs Max 11 11Pro 11ProMax และ iPad Pro 2020 / 2021;Focus(โฟกัส);70.0;14142;2132;2551;มือถือและอุปกรณ์เสริม;https://cf.shopee.co.th/file/58978d3123c455a3932288ce99cd0e87_tn;Shopee;https://shopee.co.th/กระจกกันรอย-Focus-ปกป้องเลนส์กล้อง-iPhone-12mini--X-Xs-Xs-Max-11-11Pro-11ProMax-และ-iPad-Pro-2020-/-2021-i.206467996.4418757201;4.545593739367131;จังหวัดกรุงเทพมหานคร
Hoco M1 Jet Black Stereo Sound Small Talk หูฟัง สมอลทอร์ค;Hoco(โฮโค็Hoco);42.0;43922;6742;692;มือถือและอุปกรณ์เสริม;https://cf.shopee.co.th/file/41a8abc6a6577ae50239728caf237139_tn;Shopee;https://shopee.co.th/Hoco-M1-Jet-Black-Stereo-Sound-Small-Talk-หูฟัง-สมอลทอร์ค-i.44546892.936692799;4.397230375555054;จังหวัดกรุงเทพมหานคร
ไม้เซลฟี่ 3 In 1 Handheld Bluetooth Controller Extendable Monopod Selfie Stick Tripod;No Brand(ไม่มียี่ห้อ);129.0;3280;1801;1055;มือถือและอุปกรณ์เสริม;https://cf.shopee.co.th/file/1a64fb9c2f4a03deceb228f3b666694d_tn;Shopee;https://shopee.co.th/ไม้เซลฟี่-3-In-1-Handheld-Bluetooth-Controller-Extendable-Monopod-Selfie-Stick-Tripod-i.7253808.1928577082;4.7075767063243585;จังหวัดกรุงเทพมหานคร
Thor เลือกเบอร์ ❇️ ชุด4 ซิมเทพธอร์ 15mbps​ ไม่ลดสปีด​ ใช้ได้นาน 1ปี โทรในเครือข่าย​ Sim True ซิมทรู ซิมรายปี # A lot;TruemoveH(ทรูมูฟ เอช);1790.0;7375;2015;7160;มือถือและอุปกรณ์เสริม;https://cf.shopee.co.th/file/27821a6b4c58d2f16f8c2bcec17b78b5_tn;Shopee;https://shopee.co.th/Thor-เลือกเบอร์-❇️-ชุด4-ซิมเทพธอร์-15mbps​-ไม่ลดสปีด​-ใช้ได้นาน-1ปี-โทรในเครือข่าย​-Sim-True-ซิมทรู-ซิมรายปี-#-A-lot-i.240855998.3671228752;4.921491104207851;จังหวัดกรุงเทพมหานคร
Car phone Holderที่ยึดโทรศัพท์มือถือในรถยนต์ ที่ตั้งมือถือในรถ แท่นจับมือถือในรถ แบบติดดูดกระจก บนคอนโซลรถ;No Brand(ไม่มียี่ห้อ);35.0;12926;941;1726;มือถือและอุปกรณ์เสริม;https://cf.shopee.co.th/file/c4bdb03a49f3436a6465aa4f6e86b6c5_tn;Shopee;https://shopee.co.th/Car-phone-Holderที่ยึดโทรศัพท์มือถือในรถยนต์-ที่ตั้งมือถือในรถ-แท่นจับมือถือในรถ-แบบติดดูดกระจก-บนคอนโซลรถ-i.193029225.5217934765;4.727134146341464;จังหวัดกรุงเทพมหานคร
สายเคเบิลข้อมูลฝาครอบป้องกัน【หนึ่ง】;;19.0;4962;31;593;มือถือและอุปกรณ์เสริม;https://cf.shopee.co.th/file/11eb99cc420a135c07476244d4ede496_tn;Shopee;https://shopee.co.th/สายเคเบิลข้อมูลฝาครอบป้องกัน【หนึ่ง】-i.566828138.13850411881;4.5812101910828025;ต่างประเทศ
